battery,window_start,mse_win,mae_win,rmse_win,mse_bat,mae_bat,rmse_bat
HUST_1-1,0,0.000124,0.010486,0.011158,0.000353,0.013815,0.018800
HUST_1-1,50,0.000073,0.008102,0.008565,0.000329,0.013335,0.018129
HUST_1-1,100,0.000045,0.006376,0.006697,0.000311,0.012979,0.017641
HUST_1-1,150,0.000030,0.005059,0.005439,0.000294,0.012627,0.017154
HUST_1-1,200,0.000021,0.004042,0.004551,0.000277,0.012257,0.016642
HUST_1-1,250,0.000014,0.003106,0.003741,0.000259,0.011857,0.016081
HUST_1-1,300,0.000009,0.002395,0.003044,0.000239,0.011426,0.015463
HUST_1-1,350,0.000007,0.002133,0.002664,0.000220,0.010996,0.014818
HUST_1-1,400,0.000007,0.002126,0.002627,0.000200,0.010553,0.014142
HUST_1-1,450,0.000009,0.002423,0.002982,0.000180,0.010117,0.013421
HUST_1-1,500,0.000010,0.002615,0.003152,0.000161,0.009726,0.012694
HUST_1-1,550,0.000012,0.002760,0.003399,0.000144,0.009423,0.011990
HUST_1-1,600,0.000017,0.003091,0.004136,0.000130,0.009277,0.011386
HUST_1-1,650,0.000022,0.003583,0.004699,0.000122,0.009325,0.011040
HUST_1-1,700,0.000025,0.003939,0.004951,0.000122,0.009663,0.011065
HUST_1-1,750,0.000028,0.004185,0.005247,0.000129,0.010012,0.011349
HUST_1-1,800,0.000024,0.004013,0.004920,0.000139,0.010417,0.011778
HUST_1-1,850,0.000022,0.003846,0.004691,0.000155,0.011000,0.012436
HUST_1-1,900,0.000021,0.003572,0.004535,0.000159,0.011143,0.012603
HUST_1-1,950,0.000035,0.004201,0.005928,0.000160,0.011056,0.012669
HUST_1-1,1000,0.000030,0.004428,0.005512,0.000154,0.010332,0.012422
HUST_1-1,1050,0.000021,0.003404,0.004530,0.000185,0.011229,0.013601
HUST_1-1,1100,0.000018,0.003184,0.004206,0.000229,0.012600,0.015129
HUST_1-1,1150,0.000011,0.002593,0.003256,0.000302,0.014898,0.017380
HUST_1-1,1200,0.000007,0.002108,0.002569,0.000420,0.017954,0.020485
HUST_1-1,1250,0.000007,0.002266,0.002730,0.000563,0.020977,0.023728
HUST_1-1,1300,0.000019,0.003402,0.004305,0.000745,0.024203,0.027290
HUST_1-2,0,0.000172,0.012081,0.013121,0.006244,0.058069,0.079017
HUST_1-2,50,0.000096,0.009345,0.009792,0.006016,0.056930,0.077561
HUST_1-2,100,0.000066,0.007834,0.008107,0.005811,0.055888,0.076230
HUST_1-2,150,0.000049,0.006772,0.007027,0.005631,0.054959,0.075037
HUST_1-2,200,0.000039,0.005927,0.006251,0.005473,0.054153,0.073979
HUST_1-2,250,0.000032,0.005209,0.005624,0.005283,0.053161,0.072685
HUST_1-2,300,0.000024,0.004451,0.004945,0.005100,0.052201,0.071411
HUST_1-2,350,0.000019,0.003758,0.004390,0.004910,0.051187,0.070069
HUST_1-2,400,0.000014,0.003213,0.003787,0.004711,0.050114,0.068635
HUST_1-2,450,0.000011,0.002723,0.003315,0.004506,0.048991,0.067127
HUST_1-2,500,0.000008,0.002328,0.002819,0.004295,0.047829,0.065537
HUST_1-2,550,0.000008,0.002339,0.002886,0.004073,0.046580,0.063822
HUST_1-2,600,0.000010,0.002536,0.003089,0.003855,0.045337,0.062091
